ticker,cik
mmm,0000066740
abt,0000001800
abbv,0001551152
abmd,0000815094
acn,0001467373
atvi,0000718877
adbe,0000796343
amd,0000002488
aap,0001158449
aes,0000874761
amg,0001004434
afl,0000004977
a,0001090872
apd,0000002969
akam,0001086222
alk,0000766421
alb,0000915913
are,0001035443
alxn,0000899866
algn,0001097149
alle,0001579241
agn,0001578845
ads,0001101215
lnt,0000352541
all,0000899051
googl,0001652044
goog,0001652044
mo,0000764180
amzn,0001018724
aee,0001002910
aal,0000006201
aep,0000004904
axp,0000004962
aig,0000005272
amt,0001053507
awk,0001410636
amp,0000820027
abc,0001140859
ame,0001037868
amgn,0000318154
aph,0000820313
apc,0000773910
adi,0000006281
anss,0001013462
antm,0001156039
aon,0000315293
aos,0000091142
apa,0000006769
aiv,0000922864
aapl,0000320193
amat,0000006951
aptv,0001521332
adm,0000007084
arnc,0000004281
anet,0001596532
ajg,0000354190
aiz,0001267238
ato,0000731802
t,0000732717
adsk,0000769397
adp,0000008670
azo,0000866787
avb,0000915912
avy,0000008818
bhge,0001701605
bll,0000009389
bac,0000070858
bk,0001390777
bax,0000010456
bbt,0000092230
bdx,0000010795
bby,0000764478
biib,0000875045
blk,0001364742
hrb,0000012659
ba,0000012927
bkng,0001075531
bwa,0000908255
bxp,0001037540
bsx,0000885725
bhf,0001685040
bmy,0000014272
avgo,0001730168
br,0001383312
chrw,0001043277
cog,0000858470
cdns,0000813672
cpb,0000016732
cof,0000927628
cpri,0001530721
cah,0000721371
kmx,0001170010
ccl,0000815097
cat,0000018230
cboe,0001374310
cbre,0001138118
cbs,0000813828
ce,0001306830
celg,0000816284
cnc,0001071739
cnp,0001130310
ctl,0000018926
cern,0000804753
cf,0001324404
schw,0000316709
chtr,0001091667
cvx,0000093410
cmg,0001058090
cb,0000896159
chd,0000313927
ci,0001739940
xec,0001168054
cinf,0000020286
ctas,0000723254
csco,0000858877
c,0000831001
cfg,0000759944
ctxs,0000877890
clx,0000021076
cme,0001156375
cms,0000811156
ko,0000021344
ctsh,0001058290
cl,0000021665
cmcsa,0001166691
cma,0000028412
cag,0000023217
cxo,0001358071
cop,0001163165
ed,0001047862
stz,0000016918
coo,0000711404
cprt,0000900075
glw,0000024741
cost,0000909832
coty,0001024305
cci,0001051470
csx,0000277948
cmi,0000026172
cvs,0000064803
dhi,0000882184
dhr,0000313616
dri,0000940944
dva,0000927066
de,0000315189
dal,0000027904
xray,0000818479
dvn,0001090012
fang,0001539838
dlr,0001297996
dfs,0001393612
disca,0001437107
disck,0001437107
dish,0001001082
dg,0000029534
dltr,0000935703
d,0000715957
dov,0000029905
dwdp,0001666700
dte,0000936340
dre,0000783280
duk,0001326160
dxc,0001688568
etfc,0001015780
emn,0000915389
etn,0001551182
ebay,0001065088
ecl,0000031462
eix,0000827052
ew,0001099800
ea,0000712515
emr,0000032604
etr,0000065984
eog,0000821189
efx,0000033185
eqix,0001101239
eqr,0000906107
ess,0000920522
el,0001001250
evrg,0001711269
es,0000072741
re,0001095073
exc,0001109357
expe,0001324424
expd,0000746515
exr,0001289490
xom,0000034088
ffiv,0001048695
fb,0001326801
fast,0000815556
frt,0000034903
fdx,0001048911
fis,0001136893
fitb,0000035527
fe,0001031296
frc,0001132979
fisv,0000798354
flt,0001175454
flir,0000354908
fls,0000030625
flr,0001124198
fmc,0000037785
fl,0000850209
f,0000037996
