Date,amgn,gd,nwl,zion,mat,vno,sbac,flir,wfc,aee,fcx,ksu,mtb,duk,tss,etr,pnr,incy,regn,mdlz,wynn,pep,dva,ads,mnst,sti,akam,tfx,wat,antm,hon,o,usb,ma,rtn,sna,dre,csx,pcar,pru,amp,ndaq,ual,apa,re,gww,dte,cf,aig,msci
2017-05-05,158.25838,155.48949,43.39582,38.354713,22.243423,97.16484,108.38238,34.45517,52.7838,41.3638,12.705657,94.31555,137.67651,67.91774,56.89126,70.53696,61.857525,127.53859,481.1038,46.224674,125.69216,103.33919,76.34062,266.5177,45.679543,47.690243,64.41219,191.7479,153.30133,159.8532,91.05488,39.036594,38.77179,78.98101,101.1222,92.9392,16.961046,33.06687,52.029728,71.97691,86.4236,43.721657,52.22578,61.89608,140.01703,162.10265,67.086334,37.868427,212.15973,65.16616
2017-05-08,157.59576,155.15193,42.98631,38.03122,22.151136,97.025536,108.45682,34.34928,52.515236,41.23424,12.258786,94.201035,137.98615,67.83657,56.442654,70.45866,61.817028,126.89073,483.15704,46.016994,122.85406,103.15293,76.20655,265.14276,45.683086,47.556587,62.772892,190.13992,154.14978,159.36002,91.79174,39.227913,39.2223,80.49772,103.04161,94.72664,17.013723,33.286716,52.236618,72.96521,86.837715,44.2702,52.302715,61.922874,140.74626,165.16231,66.916916,39.03216,211.04971,64.8736
2017-05-09,158.45407,155.49573,43.455482,38.04875,22.51895,97.60624,108.25829,34.43241,52.940372,41.38065,12.27671,94.5082,139.42914,68.00746,57.60287,70.96933,62.03101,126.793884,489.55066,46.243046,122.96439,103.19069,76.18118,264.65353,46.48972,47.701023,61.72968,192.14104,156.77411,160.07483,93.09052,39.704193,39.857254,81.26724,105.06805,95.90725,17.26462,33.75126,52.77485,73.33341,89.99953,45.149323,53.135365,62.84698,142.52043,168.29533,67.23511,40.178432,212.14514,66.10151
2017-05-10,159.25862,156.081,44.01059,38.33259,22.709435,97.55299,109.08342,34.58819,53.23879,41.514725,12.449128,94.779236,140.3788,68.00167,58.42912,71.49954,62.196842,126.405594,495.25778,46.350407,123.01501,103.39887,76.07976,264.0792,47.339676,47.764793,60.237213,192.54878,158.66782,160.27429,94.02628,40.021706,40.087826,81.730736,106.37477,96.60499,17.497381,34.047466,53.125916,73.54837,92.04181,45.739185,53.463215,63.58249,144.05156,170.91165,67.6792,40.754013,214.7275,66.77792
2017-05-11,159.57787,156.20439,44.549225,38.510944,22.747154,97.53444,109.64467,34.72144,53.29328,41.51642,12.530458,94.963,140.62631,68.003586,58.72658,71.733,62.25542,125.92492,499.699,46.346653,124.6296,103.53539,76.037025,263.41687,47.972435,47.72262,58.99317,192.23483,159.43086,160.13939,94.48708,40.226463,40.12411,82.2016,107.17927,97.23429,17.650667,34.14812,53.216404,73.7289,93.1095,45.998436,53.47268,64.02478,145.6267,172.45714,68.020256,40.997272,216.90416,66.83893
2017-05-12,159.13885,155.91393,44.841084,38.452496,22.57061,97.20188,110.07351,34.77287,53.037903,41.420204,12.506675,94.76956,140.25398,67.94695,58.44492,71.618706,62.11937,125.0604,502.25903,46.23301,124.96028,103.54526,75.98585,261.96115,48.27686,47.588234,57.936348,190.83224,158.81592,159.72386,94.55421,40.27309,40.054703,82.792984,107.57785,97.884415,17.713943,34.101376,53.07415,73.94543,93.27849,46.049103,53.296978,64.07887,146.77193,173.09015,68.18317,41.029385,217.47884,66.411514
2017-05-15,157.98851,155.40274,44.878223,38.030045,22.243814,96.83495,110.31459,34.705956,52.527428,41.25677,12.277951,94.56327,139.3162,67.858475,57.644417,71.218216,61.862858,123.74287,503.06326,45.9978,123.1956,103.39748,75.94709,259.3965,48.247074,47.362705,57.01162,188.29678,157.69495,159.07684,94.28157,40.172337,39.92806,83.536125,107.711876,98.55044,17.696241,33.986855,52.739323,74.18969,92.68207,45.978348,53.01083,63.719097,147.48235,172.98262,68.14683,40.93766,215.79372,65.67062
2017-05-16,158.33931,155.56989,45.42361,37.955,22.47847,97.110504,109.88754,34.852406,52.730274,41.36342,12.409581,94.82776,139.79369,68.03024,58.40696,71.41821,61.890965,123.241,508.32407,46.2297,125.764565,103.44001,76.01466,259.39072,48.627865,47.441372,56.795723,189.61267,158.46335,159.60735,94.76943,40.390408,40.20172,83.69414,108.22077,98.83565,17.84928,34.171387,52.90259,74.077324,94.91471,46.358627,53.616386,64.511765,149.3457,173.8849,68.58764,41.08075,216.70912,66.609955
2017-05-17,158.76714,155.9748,45.713062,38.152462,22.361431,96.95176,110.13663,35.065422,52.927696,41.480545,12.628583,95.038994,140.09074,68.02553,58.950752,71.68779,61.889786,123.00237,513.6166,46.399178,126.46337,103.65382,75.97375,259.2573,48.897644,47.472588,56.77909,190.06065,159.1633,159.78337,95.08755,40.51187,40.236786,83.666016,108.38912,98.872345,17.987759,34.271175,53.067715,73.967545,96.338936,46.597645,53.779716,65.10121,150.99643,174.24959,69.154816,40.973045,219.12689,67.142
2017-05-18,158.84802,155.9121,45.810364,38.13843,22.300928,96.689476,110.32811,35.176567,52.802418,41.472603,12.715225,94.714,139.8457,68.01627,59.001225,71.70386,61.798786,122.73091,517.93256,46.462025,125.15601,103.79996,75.905975,258.27823,48.90809,47.308887,56.39813,189.66095,159.22809,159.58469,95.070816,40.53726,40.161724,83.72897,108.27047,99.0532,18.069874,34.235386,53.06372,73.92287,97.00165,46.648235,53.69012,65.26486,152.11034,174.36638,69.598,40.777912,221.10832,67.10329
